WeGreen Nachhaltigkeits-Ranking: Beste Unternehmen,,,,
Branche Rohstoffe & Zulieferer,,,,
Erstellt am 22.02.2014,,,,
,,,,
Rang,Unternehmen,Farbe,Note,Bewertung
1,Ita?sa,gr?n,1.9,gut
2,Nexen,gr?n,2.1,gut
3,3M,gr?n,2.4,knapp gut
4,LIQUI MOLY,gr?n,2.5,knapp gut
5,BASF,gelb,2.7,mittelm??ig
6,Repsol YPF,gelb,2.7,mittelm??ig
7,SK Engineering & Construction,gelb,2.8,mittelm??ig
8,K+S,gelb,2.8,mittelm??ig
9,Wacker Chemie,gelb,2.9,mittelm??ig
10,Evonik,gelb,3,mittelm??ig
11,Centrica,gelb,3.2,mittelm??ig
12,OMV,gelb,3.6,schwach
13,Dow Chemical,gelb,4,schwach
14,Thyssen Krupp,rot,4.3,sehr schwach
15,Shell,rot,4.3,sehr schwach
16,Chevron,rot,4.4,sehr schwach
17,BP,rot,4.5,sehr schwach
18,Agip Eni-Gruppe,rot,4.6,schlecht
19,Total,rot,4.6,schlecht
20,ExxonMobil Esso,rot,4.6,schlecht
21,Monsanto,rot,5.5,schlecht
,,,3.495238095,
,,,,
Das Ranking aller Unternehmen finden Sie im zweiten und dritten Tabellenblatt. Nutzung ausschlie?lich unter Beachtung der Lizenzbedingungen.,,,,
